id,pageUrl,type,title,priority,status,createdAt
"1","https://cyfrovahata.com.ua/category/rozrobka-saitiv/","meta","","2","invalid","2026-06-15T11:59:17.376Z"
"2","https://cyfrovahata.com.ua/category/rozrobka-saitiv/","seoBlock","","2","invalid","2026-06-15T11:59:17.378Z"
"3","https://cyfrovahata.com.ua/category/rozrobka-saitiv/","faq","","2","invalid","2026-06-15T11:59:17.387Z"
"4","https://cyfrovahata.com.ua/category/seo-prosuvannya-saitiv/","content","","2","failed","2026-06-15T12:07:56.749Z"
"5","https://cyfrovahata.com.ua/category/rozrobka-saitiv/","meta","Розробка сайтів Україна | Цифрова хата 2026","2","invalid","2026-06-15T12:08:12.015Z"
"6","https://cyfrovahata.com.ua/category/rozrobka-saitiv/","structuredData","","2","invalid","2026-06-15T12:08:12.040Z"
"7","https://cyfrovahata.com.ua/category/rozrobka-saitiv/","callToAction","","2","invalid","2026-06-15T12:08:12.070Z"
"8","https://cyfrovahata.com.ua/pidtrymka-saitiv/","content","Оптимізація заголовка для покращення CTR","2","failed","2026-06-15T12:08:56.070Z"
"9","https://cyfrovahata.com.ua/pidtrymka-saitiv/","content","Додавання локальних ключових фраз для кращого SEO","2","failed","2026-06-15T12:08:56.071Z"
"10","https://cyfrovahata.com.ua/pidtrymka-saitiv/","content","Створення FAQ блоку для підвищення корисності сторінки","2","failed","2026-06-15T12:08:56.074Z"
"11","https://cyfrovahata.com.ua/pidtrymka-saitiv/","content","Оптимізація мета опису для більшої релевантності","2","failed","2026-06-15T12:08:56.084Z"
"12","https://cyfrovahata.com.ua/pidtrymka-saitiv/","content","Покращення тексту на сторінці з урахуванням ключових слів","2","failed","2026-06-15T12:08:56.116Z"
"13","https://cyfrovahata.com.ua/pidtrymka-saitiv/","content","Додавання інформації про ціни для прозорості та довіри","2","failed","2026-06-15T12:08:56.118Z"
"14","https://cyfrovahata.com.ua/pro-nas-cyfrovahata/","content","Оптимізація сторінки «Про нас — Цифрова хата» для локального SEO","2","failed","2026-06-15T12:09:11.063Z"
"15","https://cyfrovahata.com.ua/pro-nas-cyfrovahata/","content","Створення FAQ-блоку для сторінки «Про нас»","2","failed","2026-06-15T12:09:11.065Z"
"16","https://cyfrovahata.com.ua/pro-nas-cyfrovahata/","content","Оптимізація метатегів Title та Description","2","failed","2026-06-15T12:09:11.076Z"
"17","https://cyfrovahata.com.ua/pro-nas-cyfrovahata/","content","Покращення структури сторінки з акцентом на послуги","2","failed","2026-06-15T12:09:11.080Z"
"18","https://cyfrovahata.com.ua/pro-nas-cyfrovahata/","content","Додавання заклику до дії з локальним акцентом","2","failed","2026-06-15T12:09:11.085Z"
"19","https://cyfrovahata.com.ua/pro-nas-cyfrovahata/","content","Покращення внутрішньої перелінковки з іншими сторінками сайту","2","failed","2026-06-15T12:09:11.093Z"
"20","https://cyfrovahata.com.ua/","content","Оптимізація семантики з акцентом на локальний пошук","2","failed","2026-06-15T12:10:00.223Z"
"21","https://cyfrovahata.com.ua/","content","Покращення структури FAQ для підвищення CTR","2","failed","2026-06-15T12:10:00.252Z"
"22","https://cyfrovahata.com.ua/","content","Оптимізація метаданих з використанням локальних ключових фраз","2","failed","2026-06-15T12:10:00.318Z"
"23","https://cyfrovahata.com.ua/","content","Розширення контенту з кейсами локальних проектів","2","failed","2026-06-15T12:10:00.334Z"
"24","https://cyfrovahata.com.ua/","content","Покращення внутрішньої перелінковки для SEO просування","2","failed","2026-06-15T12:10:00.358Z"
"25","https://cyfrovahata.com.ua/","content","Створення блогу з корисними статтями та порадами","2","failed","2026-06-15T12:10:00.360Z"
"26","https://cyfrovahata.com.ua/skilky-koshtuie-sait-pid-kliuch-v-ukraini/","content","Оптимізація ключових фраз для сторінки про створення сайтів","2","invalid","2026-06-15T12:10:52.379Z"
"27","https://cyfrovahata.com.ua/skilky-koshtuie-sait-pid-kliuch-v-ukraini/","content","Пропозиції для покращення мета-опису","2","invalid","2026-06-15T12:10:52.395Z"
"28","https://cyfrovahata.com.ua/skilky-koshtuie-sait-pid-kliuch-v-ukraini/","content","Ідеї для FAQ у форматі Schema","2","invalid","2026-06-15T12:10:52.416Z"
"29","https://cyfrovahata.com.ua/skilky-koshtuie-sait-pid-kliuch-v-ukraini/","content","Покращення заголовка для SEO","2","invalid","2026-06-15T12:10:52.420Z"
"30","https://cyfrovahata.com.ua/skilky-koshtuie-sait-pid-kliuch-v-ukraini/","content","Розширення контенту для внутрішньої SEO оптимізації","2","invalid","2026-06-15T12:10:52.427Z"
"31","https://cyfrovahata.com.ua/skilky-koshtuie-sait-pid-kliuch-v-ukraini/","content","Структура статті для кращого ранжування","2","invalid","2026-06-15T12:10:52.438Z"
"32","https://cyfrovahata.com.ua/category/seo-prosuvannya-saitiv/","title","","2","failed","2026-06-15T12:15:44.724Z"
"33","https://cyfrovahata.com.ua/category/seo-prosuvannya-saitiv/","description","","2","failed","2026-06-15T12:15:44.728Z"
"34","https://cyfrovahata.com.ua/category/seo-prosuvannya-saitiv/","seoBlock","","2","failed","2026-06-15T12:15:44.730Z"
"35","https://cyfrovahata.com.ua/category/seo-prosuvannya-saitiv/","faq","","2","failed","2026-06-15T12:15:44.736Z"
"36","https://cyfrovahata.com.ua/category/rozrobka-saitiv/","meta","Розробка сайтів в Україні | Цифрова хата","2","invalid","2026-06-15T12:15:58.535Z"
"37","https://cyfrovahata.com.ua/category/rozrobka-saitiv/","content","","2","invalid","2026-06-15T12:15:58.537Z"
"38","https://cyfrovahata.com.ua/category/rozrobka-saitiv/","seo","","2","invalid","2026-06-15T12:15:58.541Z"
"39","https://cyfrovahata.com.ua/kontakty/","seo","Розробка сайтів Україна від Цифрова хата","2","failed","2026-06-15T12:17:10.442Z"
"40","https://cyfrovahata.com.ua/kontakty/","seo","Розробка сайтів Ужгород — професійно і швидко","2","failed","2026-06-15T12:17:10.468Z"
